Blue_UniqueChamps,Red_UniqueChamps,Blue_AvgChampId,Red_AvgChampId,UniqueChamps_Diff,AvgChampId_Diff,Region_Code,BlueWin
5,5,362.6,114.6,0,248.00000000000003,0,1
4,5,155.6,59.2,-1,96.39999999999999,0,1
5,5,38.6,257.4,0,-218.79999999999998,0,1
5,5,230.2,317.2,0,-87.0,0,1
5,5,297.4,211.2,0,86.19999999999999,0,0
5,5,375.6,231.8,0,143.8,0,0
5,5,87.0,310.2,0,-223.2,0,0
5,5,339.8,337.4,0,2.400000000000034,0,0
5,5,161.2,159.2,0,2.0,0,0
5,5,208.4,146.4,0,62.0,0,0
5,5,36.4,81.2,0,-44.800000000000004,0,0
5,5,110.0,238.4,0,-128.4,0,0
5,5,403.0,116.8,0,286.2,0,1
5,5,135.2,97.8,0,37.39999999999999,0,1
5,5,417.4,276.6,0,140.79999999999995,0,0
5,5,258.0,121.4,0,136.6,0,0
5,5,109.0,237.8,0,-128.8,0,1
5,5,226.4,57.4,0,169.0,0,0
5,5,303.2,309.6,0,-6.400000000000034,0,1
5,5,173.6,235.8,0,-62.20000000000002,0,0
5,5,93.6,152.6,0,-59.0,0,0
5,5,161.8,172.4,0,-10.599999999999994,0,0
5,5,120.2,378.0,0,-257.8,0,1
5,5,141.0,132.6,0,8.400000000000006,0,0
5,5,132.0,171.8,0,-39.80000000000001,0,1
5,5,88.0,190.0,0,-102.0,0,1
5,5,166.4,55.2,0,111.2,0,1
5,5,171.4,270.8,0,-99.4,0,0
5,5,89.4,107.8,0,-18.39999999999999,0,1
5,5,228.4,148.2,0,80.20000000000002,0,0
5,5,488.0,246.0,0,242.0,0,1
5,5,382.2,346.8,0,35.39999999999998,0,1
5,5,91.0,125.4,0,-34.400000000000006,0,1
5,5,248.4,99.2,0,149.2,0,1
5,5,274.0,203.2,0,70.80000000000001,0,1
5,5,73.2,234.0,0,-160.8,0,1
5,5,94.4,313.2,0,-218.79999999999998,0,1
5,5,160.0,78.6,0,81.4,0,0
5,5,117.8,176.8,0,-59.000000000000014,0,0
5,5,126.4,278.4,0,-151.99999999999997,0,1
5,5,120.6,239.4,0,-118.80000000000001,0,1
5,5,174.4,63.8,0,110.60000000000001,0,1
5,5,56.2,69.0,0,-12.799999999999997,0,1
5,5,166.2,111.2,0,54.999999999999986,0,0
5,5,152.8,306.4,0,-153.59999999999997,0,1
5,5,223.0,64.0,0,159.0,0,0
5,5,143.0,92.6,0,50.400000000000006,0,1
5,5,149.0,165.6,0,-16.599999999999994,0,0
5,5,197.8,65.4,0,132.4,0,0
5,5,87.8,93.0,0,-5.200000000000003,0,0
5,5,602.6,162.8,0,439.8,0,0
5,5,101.6,425.2,0,-323.6,0,0
5,5,287.4,132.0,0,155.39999999999998,0,1
